"Block","Treatment","Year","Total_natives"
1,"Biocontrol",2012,12
2,"Biocontrol",2012,12
3,"Biocontrol",2012,12
4,"Biocontrol",2012,9
5,"Biocontrol",2012,16
6,"Biocontrol",2012,10
1,"Control",2012,10
2,"Control",2012,12
3,"Control",2012,10
4,"Control",2012,9
5,"Control",2012,13
6,"Control",2012,10
1,"Herbicide",2012,10
2,"Herbicide",2012,13
3,"Herbicide",2012,12
4,"Herbicide",2012,8
5,"Herbicide",2012,12
6,"Herbicide",2012,8
1,"Herbicide and Biocontrol",2012,11
2,"Herbicide and Biocontrol",2012,7
3,"Herbicide and Biocontrol",2012,10
4,"Herbicide and Biocontrol",2012,9
5,"Herbicide and Biocontrol",2012,9
6,"Herbicide and Biocontrol",2012,7
